Unlabelled Nodes (%) 	LGC        Harmonic  
    6 (5.22%)	      0.7667	  0.9333
   12 (10.43%)	      0.8167	  0.8917
   17 (14.78%)	      0.8059	  0.9059
   23 (20.0%)	      0.7826	  0.9087
   29 (25.22%)	      0.7724	  0.9207
   34 (29.57%)	      0.7147	  0.9176
   40 (34.78%)	      0.7275	   0.905
   46 (40.0%)	      0.6543	  0.8826
   52 (45.22%)	      0.6538	  0.9038
   58 (50.43%)	      0.6224	  0.8879
   63 (54.78%)	      0.5714	  0.8857
   69 (60.0%)	      0.5551	  0.8696
   75 (65.22%)	       0.512	  0.8867
   80 (69.57%)	      0.4525	    0.81
   86 (74.78%)	      0.4721	  0.7756
   92 (80.0%)	      0.3533	  0.7554
   98 (85.22%)	      0.3714	  0.6959
  104 (90.43%)	      0.3202	  0.5606
  109 (94.78%)	      0.3092	   0.333
