Unlabelled Nodes (%) 	LGC        Harmonic  
    2 (5.88%)	         1.0	     1.0
    3 (8.82%)	      0.9333	     1.0
    5 (14.71%)	        0.78	     1.0
    7 (20.59%)	      0.9286	  0.9857
    8 (23.53%)	      0.9375	    0.95
   10 (29.41%)	        0.77	    0.96
   12 (35.29%)	      0.8417	  0.9667
   14 (41.18%)	      0.7786	  0.9571
   15 (44.12%)	        0.84	  0.9733
   17 (50.0%)	         0.8	  0.9647
   19 (55.88%)	      0.8526	  0.9737
   20 (58.82%)	        0.84	    0.96
   22 (64.71%)	      0.7545	  0.9364
   24 (70.59%)	      0.6542	  0.9542
   26 (76.47%)	      0.6654	  0.8923
   27 (79.41%)	      0.5926	  0.8926
   29 (85.29%)	      0.7414	  0.5793
   31 (91.18%)	      0.5226	   0.571
   32 (94.12%)	      0.5969	  0.6469
