Unlabelled Nodes (%) 	LGC        Harmonic  
   74 (4.97%)	         0.9	  0.8905
  149 (10.0%)	      0.9054	  0.8953
  224 (15.03%)	      0.8848	     0.9
  298 (20.0%)	      0.8933	   0.904
  372 (24.97%)	      0.8973	  0.9008
  447 (30.0%)	      0.8913	  0.8942
  522 (35.03%)	      0.8948	  0.8954
  596 (40.0%)	      0.8943	  0.8923
  670 (44.97%)	      0.8924	  0.8946
  745 (50.0%)	      0.8979	  0.8983
  820 (55.03%)	      0.9018	  0.8954
  894 (60.0%)	      0.8941	  0.8951
  968 (64.97%)	       0.889	  0.8967
 1043 (70.0%)	      0.8942	  0.8964
 1118 (75.03%)	      0.8928	  0.8953
 1192 (80.0%)	      0.8838	  0.8955
 1266 (84.97%)	      0.8814	  0.8944
 1341 (90.0%)	      0.8784	  0.8973
 1416 (95.03%)	      0.8392	  0.8364
