Unlabelled Nodes (%) 	LGC        Harmonic  
    5 (4.76%)	        0.78	    0.84
   10 (9.52%)	        0.86	    0.93
   16 (15.24%)	       0.825	     0.9
   21 (20.0%)	      0.8619	   0.881
   26 (24.76%)	      0.8615	  0.8462
   32 (30.48%)	      0.8469	  0.8469
   37 (35.24%)	      0.8378	   0.827
   42 (40.0%)	      0.8595	  0.8571
   47 (44.76%)	      0.8681	  0.8532
   52 (49.52%)	      0.8577	  0.8519
   58 (55.24%)	      0.8569	  0.8517
   63 (60.0%)	      0.8587	   0.854
   68 (64.76%)	      0.8588	  0.8485
   74 (70.48%)	      0.8405	  0.8581
   79 (75.24%)	      0.8342	  0.8532
   84 (80.0%)	      0.8452	  0.8381
   89 (84.76%)	      0.8292	  0.8393
   94 (89.52%)	      0.7872	  0.8511
  100 (95.24%)	       0.683	   0.692
