Unlabelled Nodes (%) 	Stacked Model
    6 (5.22%)	      0.9333
   12 (10.43%)	         0.8
   17 (14.78%)	      0.6941
   23 (20.0%)	      0.8348
   29 (25.22%)	      0.7966
   34 (29.57%)	      0.7794
   40 (34.78%)	      0.8425
   46 (40.0%)	      0.7913
   52 (45.22%)	      0.7692
   58 (50.43%)	      0.7586
   63 (54.78%)	      0.7635
   69 (60.0%)	      0.7145
   75 (65.22%)	      0.4773
   80 (69.57%)	      0.6563
   86 (74.78%)	      0.5837
   92 (80.0%)	      0.3967
   98 (85.22%)	      0.2357
  104 (90.43%)	      0.2519
  109 (94.78%)	      0.1743
