Unlabelled Nodes (%) 	Stacked Model
    2 (5.88%)	         1.0
    3 (8.82%)	         1.0
    5 (14.71%)	        0.96
    7 (20.59%)	      0.9857
    8 (23.53%)	       0.975
   10 (29.41%)	        0.96
   12 (35.29%)	      0.9917
   14 (41.18%)	      0.9786
   15 (44.12%)	        0.96
   17 (50.0%)	      0.9588
   19 (55.88%)	      0.9632
   20 (58.82%)	        0.98
   22 (64.71%)	      0.9409
   24 (70.59%)	      0.9125
   26 (76.47%)	      0.8577
   27 (79.41%)	      0.8519
   29 (85.29%)	       0.831
   31 (91.18%)	      0.6452
   32 (94.12%)	      0.5344
