Unlabelled Nodes (%) 	Stacked Model
   74 (4.97%)	      0.8973
  149 (10.0%)	      0.9121
  224 (15.03%)	      0.8897
  298 (20.0%)	      0.9044
  372 (24.97%)	      0.8941
  447 (30.0%)	      0.8993
  522 (35.03%)	      0.9021
  596 (40.0%)	      0.8995
  670 (44.97%)	      0.8909
  745 (50.0%)	      0.8914
  820 (55.03%)	      0.8951
  894 (60.0%)	       0.894
  968 (64.97%)	      0.8961
 1043 (70.0%)	      0.8935
 1118 (75.03%)	      0.8965
 1192 (80.0%)	      0.8978
 1266 (84.97%)	       0.897
 1341 (90.0%)	      0.8929
 1416 (95.03%)	      0.8826
