Unlabelled Nodes (%) 	Stacked Model
    5 (4.76%)	        0.82
   10 (9.52%)	        0.85
   16 (15.24%)	      0.8625
   21 (20.0%)	       0.881
   26 (24.76%)	      0.8615
   32 (30.48%)	      0.8625
   37 (35.24%)	      0.8973
   42 (40.0%)	      0.8833
   47 (44.76%)	      0.8362
   52 (49.52%)	      0.8635
   58 (55.24%)	        0.85
   63 (60.0%)	       0.846
   68 (64.76%)	      0.8544
   74 (70.48%)	      0.8527
   79 (75.24%)	      0.8494
   84 (80.0%)	      0.8452
   89 (84.76%)	      0.8461
   94 (89.52%)	      0.8234
  100 (95.24%)	       0.786
