Unlabelled Nodes (%) 	Stacked Model
    1 (4.17%)	         1.0
    2 (8.33%)	         1.0
    4 (16.67%)	       0.975
    5 (20.83%)	        0.98
    6 (25.0%)	        0.95
    7 (29.17%)	      0.9857
    8 (33.33%)	         1.0
   10 (41.67%)	        0.98
   11 (45.83%)	      0.8636
   12 (50.0%)	      0.9583
   13 (54.17%)	      0.9615
   14 (58.33%)	      0.9143
   16 (66.67%)	        0.85
   17 (70.83%)	      0.7824
   18 (75.0%)	      0.7111
   19 (79.17%)	      0.7737
   20 (83.33%)	         0.7
   22 (91.67%)	      0.5727
   23 (95.83%)	      0.4609
