Unlabelled Nodes (%) 	Stacked Model
    6 (5.22%)	         0.7
   12 (10.43%)	       0.825
   17 (14.78%)	      0.6059
   23 (20.0%)	         0.7
   29 (25.22%)	      0.8414
   34 (29.57%)	      0.7618
   40 (34.78%)	       0.795
   46 (40.0%)	      0.6674
   52 (45.22%)	      0.6538
   58 (50.43%)	      0.6224
   63 (54.78%)	      0.6984
   69 (60.0%)	      0.6203
   75 (65.22%)	       0.516
   80 (69.57%)	      0.5963
   86 (74.78%)	      0.4198
   92 (80.0%)	        0.35
   98 (85.22%)	      0.3112
  104 (90.43%)	      0.1135
  109 (94.78%)	       0.155
