Unlabelled Nodes (%) 	Stacked Model
    2 (5.88%)	        0.95
    3 (8.82%)	         1.0
    5 (14.71%)	        0.98
    7 (20.59%)	         1.0
    8 (23.53%)	         0.9
   10 (29.41%)	        0.97
   12 (35.29%)	      0.9833
   14 (41.18%)	      0.9786
   15 (44.12%)	      0.9733
   17 (50.0%)	      0.9588
   19 (55.88%)	      0.9579
   20 (58.82%)	        0.97
   22 (64.71%)	      0.9318
   24 (70.59%)	      0.9417
   26 (76.47%)	      0.8923
   27 (79.41%)	         0.9
   29 (85.29%)	      0.7034
   31 (91.18%)	      0.6065
   32 (94.12%)	      0.6781
