Unlabelled Nodes (%) 	Stacked Model
   74 (4.97%)	      0.8784
  149 (10.0%)	      0.9047
  224 (15.03%)	      0.8969
  298 (20.0%)	       0.898
  372 (24.97%)	      0.8981
  447 (30.0%)	      0.8966
  522 (35.03%)	      0.8983
  596 (40.0%)	      0.8893
  670 (44.97%)	      0.8967
  745 (50.0%)	      0.8984
  820 (55.03%)	      0.8967
  894 (60.0%)	      0.8941
  968 (64.97%)	      0.8928
 1043 (70.0%)	      0.8985
 1118 (75.03%)	      0.8942
 1192 (80.0%)	      0.8964
 1266 (84.97%)	       0.893
 1341 (90.0%)	      0.8886
 1416 (95.03%)	      0.8316
