Unlabelled Nodes (%) 	Stacked Model
    5 (4.76%)	         0.9
   10 (9.52%)	        0.94
   16 (15.24%)	       0.875
   21 (20.0%)	      0.8476
   26 (24.76%)	      0.8692
   32 (30.48%)	         0.9
   37 (35.24%)	      0.8757
   42 (40.0%)	       0.869
   47 (44.76%)	      0.8638
   52 (49.52%)	      0.8769
   58 (55.24%)	      0.8586
   63 (60.0%)	      0.8762
   68 (64.76%)	      0.8324
   74 (70.48%)	      0.8392
   79 (75.24%)	      0.8722
   84 (80.0%)	      0.8393
   89 (84.76%)	      0.8461
   94 (89.52%)	      0.8468
  100 (95.24%)	       0.771
