Unlabelled Nodes (%) 	Stacked Model
    1 (4.17%)	         0.8
    2 (8.33%)	        0.85
    4 (16.67%)	         1.0
    5 (20.83%)	         1.0
    6 (25.0%)	      0.9667
    7 (29.17%)	      0.8286
    8 (33.33%)	      0.9625
   10 (41.67%)	        0.95
   11 (45.83%)	      0.7909
   12 (50.0%)	      0.8917
   13 (54.17%)	      0.8385
   14 (58.33%)	      0.9071
   16 (66.67%)	      0.8562
   17 (70.83%)	      0.8118
   18 (75.0%)	      0.7389
   19 (79.17%)	         0.7
   20 (83.33%)	       0.625
   22 (91.67%)	      0.4682
   23 (95.83%)	      0.4565
