Unlabelled Nodes (%) 	LGC        Harmonic  
    1 (4.17%)	         1.0	     0.9
    2 (8.33%)	         1.0	     1.0
    4 (16.67%)	       0.975	     1.0
    5 (20.83%)	        0.96	    0.96
    6 (25.0%)	         1.0	  0.9667
    7 (29.17%)	         0.9	     0.9
    8 (33.33%)	        0.95	  0.9875
   10 (41.67%)	         0.8	    0.92
   11 (45.83%)	         0.9	  0.9727
   12 (50.0%)	      0.9083	  0.9667
   13 (54.17%)	      0.7615	  0.9462
   14 (58.33%)	      0.7929	  0.9571
   16 (66.67%)	      0.6938	  0.9062
   17 (70.83%)	      0.7529	  0.7941
   18 (75.0%)	      0.7889	  0.8444
   19 (79.17%)	      0.8105	  0.8421
   20 (83.33%)	       0.575	    0.75
   22 (91.67%)	      0.6727	    0.65
   23 (95.83%)	      0.3391	  0.3609
