Number of nodes: 115

Unlabelled Nodes (%) 	Accuracy    	NMI         	ARI         
    6 (5.22%)	         0.9833	       0.992	      0.9634
   12 (10.43%)	         0.9167	      0.9775	      0.8944
   17 (14.78%)	            0.9	      0.9567	      0.8567
   23 (20.0%)	         0.9478	      0.9728	      0.9138
   29 (25.22%)	         0.9103	      0.9454	      0.8659
   34 (29.57%)	            0.9	      0.9385	      0.8473
   40 (34.78%)	         0.9125	      0.9375	      0.8676
   46 (40.0%)	         0.8848	      0.9179	      0.8142
   52 (45.22%)	         0.8942	      0.9166	      0.8452
   58 (50.43%)	         0.8552	      0.8923	      0.7833
   63 (54.78%)	         0.8651	       0.894	      0.7964
   69 (60.0%)	         0.8609	      0.8946	      0.7961
   75 (65.22%)	         0.8267	      0.8622	      0.7448
   80 (69.57%)	         0.8362	      0.8641	      0.7486
   86 (74.78%)	         0.8128	      0.8453	      0.7307
   92 (80.0%)	         0.7663	      0.8105	       0.655
   98 (85.22%)	         0.6235	      0.7198	      0.4694
  104 (90.43%)	         0.5135	      0.6751	      0.4109
  109 (94.78%)	         0.3862	      0.5541	      0.2645
