Number of nodes: 34

Unlabelled Nodes (%) 	Accuracy    	NMI         	ARI         
    2 (5.88%)	            1.0	         1.0	         1.0
    3 (8.82%)	         0.9667	         0.9	         0.9
    5 (14.71%)	           0.94	      0.8141	      0.7692
    7 (20.59%)	            1.0	         1.0	         1.0
    8 (23.53%)	         0.9625	      0.8685	      0.8485
   10 (29.41%)	           0.96	      0.8458	      0.8393
   12 (35.29%)	         0.9833	      0.9323	       0.933
   14 (41.18%)	         0.9571	      0.8254	      0.8326
   15 (44.12%)	           0.98	      0.9112	      0.9199
   17 (50.0%)	         0.9824	      0.9179	      0.9294
   19 (55.88%)	         0.9579	      0.8255	      0.8384
   20 (58.82%)	           0.98	      0.9135	      0.9221
   22 (64.71%)	         0.9409	      0.7432	      0.7705
   24 (70.59%)	          0.925	      0.7444	      0.7509
   26 (76.47%)	         0.8731	      0.6473	      0.6219
   27 (79.41%)	         0.7963	      0.5913	      0.5673
   29 (85.29%)	            0.7	      0.3612	      0.3506
   31 (91.18%)	         0.6645	       0.309	      0.2665
   32 (94.12%)	         0.5969	      0.1871	      0.1727
