Number of nodes: 105

Unlabelled Nodes (%) 	Accuracy    	NMI         	ARI         
    5 (4.76%)	            0.9	      0.8906	      0.8101
   10 (9.52%)	           0.88	      0.7917	      0.7292
   16 (15.24%)	         0.8188	      0.6695	      0.6158
   21 (20.0%)	          0.819	      0.6188	       0.609
   26 (24.76%)	         0.8346	      0.6665	      0.6676
   32 (30.48%)	         0.8719	      0.6984	      0.7293
   37 (35.24%)	         0.8459	       0.687	      0.6951
   42 (40.0%)	         0.8524	      0.6664	      0.7002
   47 (44.76%)	         0.8468	      0.6282	      0.6712
   52 (49.52%)	         0.8481	      0.6182	      0.6718
   58 (55.24%)	          0.869	      0.6423	      0.7075
   63 (60.0%)	         0.8587	      0.6399	      0.7006
   68 (64.76%)	         0.8603	      0.6506	      0.7126
   74 (70.48%)	         0.8554	      0.6395	      0.6994
   79 (75.24%)	         0.8532	      0.6268	      0.6954
   84 (80.0%)	         0.8488	      0.6162	      0.6787
   89 (84.76%)	         0.8461	      0.5843	      0.6578
   94 (89.52%)	          0.817	       0.554	      0.5933
  100 (95.24%)	          0.731	      0.4393	      0.4768
