Number of nodes: 115

Unlabelled Nodes (%) 	Accuracy    	NMI         	ARI         
    6 (5.22%)	           0.95	      0.9851	      0.8634
   12 (10.43%)	         0.7917	      0.9243	      0.7435
   17 (14.78%)	         0.7824	      0.9127	       0.685
   23 (20.0%)	         0.7348	      0.8718	      0.6275
   29 (25.22%)	          0.731	      0.8694	      0.6702
   34 (29.57%)	         0.6941	      0.8234	      0.5872
   40 (34.78%)	           0.64	      0.8094	       0.581
   46 (40.0%)	         0.6565	      0.7908	      0.5218
   52 (45.22%)	          0.625	      0.7585	      0.4963
   58 (50.43%)	         0.5724	       0.735	       0.438
   63 (54.78%)	         0.6063	      0.7516	      0.4562
   69 (60.0%)	         0.5101	      0.6905	      0.3662
   75 (65.22%)	         0.4893	      0.6791	      0.3491
   80 (69.57%)	         0.5088	      0.6386	      0.3393
   86 (74.78%)	          0.407	       0.574	      0.2654
   92 (80.0%)	         0.4522	      0.6115	      0.3148
   98 (85.22%)	         0.3194	      0.4868	      0.1927
  104 (90.43%)	         0.3212	      0.4549	      0.1585
  109 (94.78%)	         0.2358	      0.3398	      0.0877
