Number of nodes: 34

Unlabelled Nodes (%) 	Accuracy    	NMI         	ARI         
    2 (5.88%)	           0.85	         0.7	         0.7
    3 (8.82%)	         0.9667	      0.9274	        0.85
    5 (14.71%)	           0.98	         0.9	         0.9
    7 (20.59%)	         0.7857	       0.636	      0.5521
    8 (23.53%)	          0.925	      0.7557	       0.715
   10 (29.41%)	           0.89	      0.6856	      0.6252
   12 (35.29%)	         0.8333	      0.6082	      0.5323
   14 (41.18%)	         0.8143	      0.5617	       0.499
   15 (44.12%)	         0.9133	      0.7052	       0.684
   17 (50.0%)	         0.8118	      0.5963	      0.5254
   19 (55.88%)	         0.7632	       0.476	      0.3905
   20 (58.82%)	          0.825	      0.6363	      0.6156
   22 (64.71%)	         0.7364	      0.4797	      0.4129
   24 (70.59%)	         0.6917	      0.3407	      0.2949
   26 (76.47%)	           0.65	      0.2703	      0.2145
   27 (79.41%)	         0.7704	       0.465	      0.4143
   29 (85.29%)	         0.5655	      0.1459	      0.1121
   31 (91.18%)	            0.5	      0.0434	      0.0128
   32 (94.12%)	         0.5062	      0.0829	      0.0875
