Number of nodes: 105

Unlabelled Nodes (%) 	Accuracy    	NMI         	ARI         
    5 (4.76%)	           0.94	      0.9437	      0.9111
   10 (9.52%)	           0.89	      0.8286	       0.763
   16 (15.24%)	         0.8812	      0.7626	      0.7639
   21 (20.0%)	         0.8857	      0.7673	      0.7717
   26 (24.76%)	         0.8577	      0.7034	      0.7192
   32 (30.48%)	         0.8594	      0.6772	      0.7106
   37 (35.24%)	         0.8486	      0.6649	      0.6912
   42 (40.0%)	         0.8524	      0.6412	      0.6857
   47 (44.76%)	         0.8426	      0.6369	      0.6799
   52 (49.52%)	         0.8346	      0.6127	      0.6549
   58 (55.24%)	         0.8517	      0.6173	      0.6726
   63 (60.0%)	         0.8587	      0.6447	      0.6984
   68 (64.76%)	         0.8588	      0.6293	      0.6878
   74 (70.48%)	         0.8405	      0.6161	      0.6685
   79 (75.24%)	         0.8582	      0.6272	      0.6936
   84 (80.0%)	         0.8405	      0.6172	      0.6578
   89 (84.76%)	         0.8382	      0.5999	      0.6407
   94 (89.52%)	         0.8096	      0.5388	      0.5653
  100 (95.24%)	          0.731	      0.4692	      0.5016
